factor,year,ic,rank_ic,count
dist_to_low_250d,2025.0,-0.15069516814423445,-0.21043713775906803,243.0
dist_to_low_250d,2026.0,-0.508585404758318,-0.5169006213333723,97.0
macd_dif,2018.0,-0.10855293972679109,-0.14820134709493107,243.0
macd_dif,2019.0,-0.05430194843122446,-0.06343754259445125,244.0
macd_dif,2020.0,-0.2274130828960596,-0.19469742967010725,243.0
macd_dif,2021.0,-0.06827943980887718,-0.06784269253221066,243.0
macd_dif,2022.0,-0.0726512608984321,-0.0839176796677111,242.0
macd_dif,2023.0,-0.08327192860810789,-0.04575068764682747,242.0
macd_dif,2024.0,-0.10953146529040547,-0.17325782517277297,242.0
macd_dif,2025.0,-0.022719714203961114,-0.022782051346383187,243.0
macd_dif,2026.0,-0.17595752842603962,-0.18555386071954552,97.0
macd_dea,2018.0,-0.18504085176543272,-0.21560418032217016,243.0
macd_dea,2019.0,-0.09480624444116097,-0.08243807541231428,244.0
macd_dea,2020.0,-0.1983981465827423,-0.18121770779495566,243.0
macd_dea,2021.0,-0.05485751738686572,-0.08213280344427884,243.0
macd_dea,2022.0,-0.043371525351372696,-0.08561451727552571,242.0
macd_dea,2023.0,-0.03808493729467755,-0.01035418098161717,242.0
macd_dea,2024.0,-0.11036376785386837,-0.2091814259747075,242.0
macd_dea,2025.0,-0.033064197365834484,-0.024974868740392835,243.0
macd_dea,2026.0,-0.23852425153704046,-0.24250473385230378,97.0
macd_hist,2018.0,0.17799475418167024,0.10911155087360508,243.0
macd_hist,2019.0,0.10186214550794259,0.06213895394223263,244.0
macd_hist,2020.0,-0.12471202302297685,-0.08263124706244428,243.0
macd_hist,2021.0,-0.05248164004378825,-0.010964923284843801,243.0
macd_hist,2022.0,-0.1016365804391622,-0.0818448960030753,242.0
macd_hist,2023.0,-0.14404728573655895,-0.15067774014083585,242.0
macd_hist,2024.0,-0.022624232406410358,-0.06772322489813515,242.0
macd_hist,2025.0,0.02814546372211674,0.002094132248131254,243.0
macd_hist,2026.0,0.1047466493317767,0.07365085209341468,97.0
kdj_k,2018.0,0.01987479693013217,-0.01910225371641863,235.0
kdj_k,2019.0,-0.08898027597510308,-0.1145054500245757,244.0
kdj_k,2020.0,-0.13854141248721505,-0.15157452986563766,243.0
